file,type,use,status
04_SKETCHES_AND_IMAGES/sketch-birdhouse-notebook.png,image,Промо/портфолио,APPROVED
04_SKETCHES_AND_IMAGES/photo-birdhouse.png,image,Фото готового проекта,APPROVED
04_SKETCHES_AND_IMAGES/photo-wood-crack.png,image,Косяк → Урок,APPROVED
03_ICONS/CIRCLE_PERSONAL/icon-achv-first-project.png,icon,достижение «Первый проект»,EXTRACTED_FROM_ICON_SYSTEM_SHEET
03_ICONS/CIRCLE_PERSONAL/icon-achv-first-tool.png,icon,достижение «Первый инструмент»,EXTRACTED_FROM_ICON_SYSTEM_SHEET
03_ICONS/CIRCLE_PERSONAL/icon-achv-did-it-himself.png,icon,достижение «Сделал самостоятельно»,EXTRACTED_FROM_ICON_SYSTEM_SHEET
03_ICONS/CIRCLE_PERSONAL/icon-achv-tidy-space.png,icon,достижение «Хозяин рабочего места»,EXTRACTED_FROM_ICON_SYSTEM_SHEET
03_ICONS/CIRCLE_PERSONAL/icon-achv-10-sessions.png,icon,достижение «10 занятий»,EXTRACTED_FROM_ICON_SYSTEM_SHEET
04_SKETCHES_AND_IMAGES/TASK_ICONS/STOLYARKA/01_stolyarka_taburet.png,task_icon,Задание «Табурет»,APPROVED
04_SKETCHES_AND_IMAGES/TASK_ICONS/STOLYARKA/02_stolyarka_skvorechnik.png,task_icon,Задание «Скворечник»,APPROVED
04_SKETCHES_AND_IMAGES/TASK_ICONS/STOLYARKA/03_stolyarka_kormushka-dlya-ptic.png,task_icon,Задание «Кормушка для птиц»,APPROVED
04_SKETCHES_AND_IMAGES/TASK_ICONS/STOLYARKA/04_stolyarka_podstavka-pod-telefon.png,task_icon,Задание «Подставка под телефон»,APPROVED
04_SKETCHES_AND_IMAGES/TASK_ICONS/ELEKTRIKA/05_electrika_zameni-lampochku.png,task_icon,Задание «Замени лампочку»,APPROVED
04_SKETCHES_AND_IMAGES/TASK_ICONS/ELEKTRIKA/06_electrika_prostaya-elektrocep.png,task_icon,Задание «Собери простую электроцепь»,APPROVED
04_SKETCHES_AND_IMAGES/TASK_ICONS/ELEKTRIKA/07_electrika_ustanovi-rozetku.png,task_icon,Задание «Установи розетку»,APPROVED
04_SKETCHES_AND_IMAGES/TASK_ICONS/ELEKTRIKA/08_electrika_podklyuchi-vyklyuchatel.png,task_icon,Задание «Подключи выключатель»,APPROVED
04_SKETCHES_AND_IMAGES/TASK_ICONS/ELEKTRIKA/09_electrika_soedini-provoda-v-korobke.png,task_icon,Задание «Соедини провода в коробке»,APPROVED
04_SKETCHES_AND_IMAGES/TASK_ICONS/SANTEHNIKA/10_santehnika_zamena-prokladki.png,task_icon,Задание «Замени прокладку в кране»,APPROVED
04_SKETCHES_AND_IMAGES/TASK_ICONS/SANTEHNIKA/11_santehnika_ustanovi-sifon.png,task_icon,Задание «Установи сифон»,APPROVED
04_SKETCHES_AND_IMAGES/TASK_ICONS/SANTEHNIKA/12_santehnika_ustrani-zasor.png,task_icon,Задание «Устрани засор»,APPROVED
04_SKETCHES_AND_IMAGES/TASK_ICONS/SANTEHNIKA/13_santehnika_gibkaya-podvodka.png,task_icon,Задание «Замени гибкую подводку»,APPROVED
04_SKETCHES_AND_IMAGES/TASK_ICONS/SANTEHNIKA/14_santehnika_fum-lenta.png,task_icon,Задание «Намотай ФУМ-ленту»,APPROVED
